Description,Data.Protein,Data.Vitamins.Vitamin C,Data.Major Minerals.Calcium,Data.Major Minerals.Iron,Data.Fat.Total Lipid,Data.Sugar Total,Data.Major Minerals.Sodium,Category
"Coconut, kernal, dry",7.27,0.0,32.0,3.13,63.26,6.93,16.68,Coconut
"Coconut, kernel, fresh",3.84,0.8,8.0,1.3,41.38,6.2,8.12,Coconut
"Garden cress, seeds",23.36,0.0,318.0,17.2,23.74,0.91,21.84,Garden cress
"Gingelly seeds, black",19.17,0.0,1664.0,13.9,43.1,0.99,15.91,Gingelly seeds
"Gingelly seeds, brown",21.61,0.0,1174.0,14.95,43.22,1.39,11.94,Gingelly seeds
"Gingelly seeds, white",21.7,0.0,1283.0,15.04,43.05,0.67,15.43,Gingelly seeds
Ground nut,23.65,0.0,54.0,3.44,39.63,4.42,12.21,Ground nut
Mustard seeds,19.51,0.0,402.0,13.49,40.19,5.07,3.97,Mustard seeds
Linseeds,18.55,0.0,257.0,5.44,35.67,0.6,32.93,Linseeds
"Niger seeds, black",18.92,0.0,572.0,18.19,38.61,1.75,10.7,Niger seeds
"Niger seeds, gray",18.34,0.0,375.0,19.61,39.53,0.41,8.08,Niger seeds
Pine seed,12.55,0.0,17.0,4.5,48.79,4.67,1.31,Pine seed
Pistachio nuts,23.35,0.0,135.0,4.5,42.49,7.9,6.93,Pistachio nuts
Safflower seeds,17.66,0.0,211.0,4.06,30.87,2.67,3.05,Safflower seeds
Sunflower seeds,23.53,0.0,176.0,5.85,51.85,2.81,1.9,Sunflower seeds
Walnut,14.92,0.88,105.0,3.21,64.27,3.22,1.33,Walnut
"Jaggery, cane",1.85,0.0,107.0,4.63,0.16,84.32,25.38,Jaggery
"Sugarcane, juice",0.16,6.73,18.0,1.12,0.4,12.85,1.16,Sugarcane
"Button mushroom, fresh",3.68,0.0,18.38,0.29,0.42,0.1,7.72,Button mushroom
"Chicken mushroom, fresh",1.84,0.45,4.83,0.3,0.25,0.1,10.22,Chicken mushroom
"Shiitake mushroom, fresh",3.19,0.0,5.3,1.93,0.76,0.2,9.3,Shiitake mushroom
